_id,bucket_name,external_shares,likes,media_type,caption,tag_name,tag_translation,text,timestamp,filename,verifiable_claim,contains_video,contains_image,visible_source,contains_relevant_meme,annotator_label
5f1f622deb47bbf83a5b3035,स्वास्थ्य,26,48,image,#💁🏻‍♀️घरेलू नुस्खे #🤗 अच्छी सेहत का राज #🌿आयुर्वेदिक नुस्खों पर चर्चा  #🌡️सेहत टिप्स #👩🏻महिला मंडल,💁🏻‍♀️घरेलू नुस्खे,Home remedies,,2020-07-26 17:41:00,b3eed7ec-efe5-4916-8c42-b5adfb1cae02,"['Yes, other']",No  ,Contains human,Anonymous/User Generated,No   ,1
5f279d3843c2b3a088b4aade,स्वास्थ्य,3,5,image,#🌿आयुर्वेद #🌿आयुर्वेदिक नुस्खों पर चर्चा  #💁🏻‍♀️घरेलू नुस्खे #🌡️सेहत टिप्स #💪 फिटनेस टिप्स,💪 फिटनेस टिप्स,💪 Fitness tips,,2020-08-02 16:39:58,2ca7aeec-5c6e-411e-bfcc-4603adbe9998,"['Yes, other']",No  ,,Digital Content Providers,No   ,1
5f20ae871b2328c5bd9fc5a7,ख़बरें और राजनीति,10,20,video,"जब राज्य के मुख्यमंत्री ही अपनी प्रतिभा का मज़ाक बनाए, फिर जवाब तो बनता है भैय्या...
Prashant Kishore Replies Hard to Nitish Kumar
जरूर सुनें और शेयर करें, ताकि बिहार का हर युवा इसे याद रखे...
#PrashantKishor #TeamPK #BaatBiharKi #📰भारत न्यूज़ 🗞",📰भारत न्यूज़ 🗞,📰Bharat News🗞,,2020-07-09 14:10:08,433e25b3-9b2e-4052-95a1-29430db3f2ef,"['Yes, Statistical Claim']",Other,"No, does not contain images",Anonymous/User Generated,No   ,1
5f0e3ccef01a30300e739ba9,ख़बरें और राजनीति,10,38,video,"नीतीश जी ने साइकिल बांटी, पोशाक बांटे लेकिन एक अच्छी शिक्षा नहीं दे पाए: प्रशांत किशोर
#📰 बिहार की खबरें",📰 बिहार की खबरें,📰 Bihar News,,2020-07-03 14:26:47,8b9e5a5c-da8c-4f98-94f9-d29e78647370,"['Yes, Statistical Claim']",No  ,"No, does not contain images",Digital Only News Outlets,No   ,1
5f07958c9e1c10d1eb30a6b1,स्वास्थ्य,5,13,image,#💪जिम की फोटो 📸,💪जिम की फोटो 📸,💪 Gym PhotoGraphy📸,,2020-06-09 03:55:08,04889f71-b1d3-4019-8a39-4b74353b3eda,['No '],No  ,Contains human,Anonymous/User Generated,No   ,1
5f24a9c3fa811639c7115a95,ख़बरें और राजनीति,4,43,image,#🌐 राष्ट्रीय-अंतराष्ट्रीय खबरें,🌐 राष्ट्रीय-अंतराष्ट्रीय खबरें,🌐 National-International News,,2020-07-31 16:10:56,23e60fff-dcc7-4faa-a5aa-318162764ce1,['No '],No  ,"No, does not contain images",Anonymous/User Generated,Yes,1
5f068b94dcad9beab355fb8a,कोरोना वायरस,10,5,image,#🙏कोरोना वायरस से बचाव,🙏कोरोना वायरस से बचाव,🙏Corona virus protection,,2020-07-08 21:31:53,8a3bff27-c049-4f0a-9e33-4ed41253758e,"['Yes, other']",No  ,Contains human,Government/Public Authority,No   ,1
5f190a89149f21274f90fb0c,स्वास्थ्य,15,10,image,#🌿आयुर्वेद #😔 कील मुहासे #👉 कैंसर #👉 स्त्रीरोग #💉 मधुमेह,💉 मधुमेह,Diabetes,,2020-07-13 08:32:50,92a40bf3-ad10-4d36-86bc-ad04373f0a33,"['Yes, other']",No  ,Does not contain human(s),Anonymous/User Generated,No   ,1
5f13c89ef9caba89a1ec8934,कोरोना वायरस,11,14,video,#🚨कोरोना ज़ोन अपडेट,🚨कोरोना ज़ोन अपडेट,🚨Corona Zone Update,,2020-07-18 16:02:30,aebd6340-e460-4c07-afc3-cd8ad74cfda0,"['Yes, Statistical Claim']",No  ,Contains human,Digital Only News Outlets,No   ,1
5f190a8d149f21274f90fde7,देश प्रेम ,8,16,image,#teamrj29 #सब मतलबी है #एक बात बोलू #rj_29_wale #😎 अपना आगरा,😎 अपना आगरा,😎 Apna Agra,,2020-07-18 10:23:40,3afedb59-b613-48e8-b042-1057e88cadbc,['No '],No  ,"No, does not contain images",Anonymous/User Generated,No   ,1
